"","site","doy","surface_temp","surface_DO_mgL","surface_DO_sat","surface_SpCond","Notes.x","ch4_lake_surface","n2o_lake_surface","bottom_depth","bottom_temp","bottom_DO_mgL","bottom_DO_sat","bottom_SpCond","Notes.y","ch4_lake_bottom","n2o_lake_bottom"
"1","CFL1",152,19.9,10.8,117.7,0,"",0.394031129580212,0,1.4,17.7,13.18,138.9,564,"",0.911290445623705,0
"2","CFL1",166,26.2,11.43,141.9,0,"",1.02248183837075,0,1.5,24.9,12.66,152.5,559,"",2.39220528993426,0
"3","CFL1",183,24.6,11.89,143.6,4,"",0.411753057664158,0.0175021578917837,1.75,24,11.29,106.6,537,"",2.04964085829986,0.0251811525623368
"4","CFL1",197,23.6,10.02,118.3,1.8,"",0.850027071824194,0.0155292474162532,1.75,23.8,9.04,108.9,515,"",2.21316300926044,0.0155859932193014
"5","CFL1",208,26.3,9.95,123.8,2.9,"",1.14123783690686,0.0114377968181201,1.25,26.3,8.72,108.1,502,"",1.12452205825114,0.01137780810076
"6","CFL1",223,25,7.55,91,2.8,"",0.483046516563302,0.0143669696142673,1.5,24.3,6.87,82.1,500,"",0.858959514779591,0.01424495630523
"7","CFL1",237,25.6,7.72,94.3,9.1,"",0.62288865007263,0.0114958525598547,1.75,25.1,7.78,94.5,490.8,"",0.719039158757971,0.0112514725502889
"8","CFL2",166,26,10.86,133.7,9.9,"",0.965828475359725,0,3,24.4,6.84,88.7,565,"",2.23592793596191,0
"9","CFL2",183,24.9,11.76,142.6,1.9,"",0.419008086782994,0.0165402250248074,2.25,24.1,9.78,116.8,537,"",2.79013949047184,0.0273112193536647
"10","CFL2",197,23.8,10.76,127.2,3,"",0.694639900787646,0.0165329870551378,2.5,23.6,6.54,69.8,517,"",0.652186752565268,0.0163610463359897
"11","CFL2",208,25.4,9.43,116.1,1.1,"",1.92262334545257,0.014003151822252,2.5,25.8,5.23,63.7,507,"",8.61504846409187,0.0147379429680589
"12","CFL2",223,24.6,7.67,92.2,3.8,"",0.441266859551764,0.0150550675602929,1,24.4,5.65,68.9,501,"",2.29914903387237,0.0153919221780359
"13","CFL2",237,25.2,8.12,98.7,4.1,"",0.676839472190285,0.0117680409934815,2,25.1,6.63,80.8,492,"",1.11835873202655,0.0118750527813681
"14","G1",150,17.7,12.9,136.2,0.1,"",0.495705743871083,0,1,16,18.83,190.7,549,"",0.0216980727345625,0
"15","G1",159,26.2,9.65,119.5,552,"",1.10652993530737,0,0.75,25,14.09,170.1,544,"",2.48264477184257,0
"16","G1",173,23.3,15.98,183.6,488,"",0.659774969075251,NA,1,23.1,16.78,197.4,486.6,"",0.652871303035359,NA
"17","G1",187,28.5,10.75,138.4,3.3,"",1.63147395394121,0.0155400514543544,1,26.5,13.4,167.2,510,"",0.998280611860042,0.0156053324480569
"18","G1",203,23.5,8.53,100.5,1.5,"",0.886665662951918,0.0130695372108427,1,23.8,8.44,99.8,505,"",0.851481443988971,0.0124468257698544
"19","G1",215,27.1,11.31,144.5,0,"",1.3835702562488,0.0102583797462399,1,25,13.61,165.9,476.9,"",1.15940538532213,0.0113713772444461
"20","G1",229,25.4,8.27,100.6,3.5,"",1.09268779531587,0.0117315389400423,1,24.6,9.43,113.4,484.4,"",1.09032861063779,0.0116341720615343
"21","G1",243,25.8,9.6,118.5,0.1,"",0.910134391466384,0.011158377367846,1,25.7,10.7,134.3,481.9,"",0.906193977843743,0.0115335064549539
"22","G1",257,22.1,8.7,99.8,493.5,"",0.237207298187733,0.0138358215503069,1.25,21.6,9.03,104.7,491.7,"",0.241705275439315,0.0147880726394054
"23","G1",270,19.7,8.7,95.1,8.1,"",0.439442010156949,0.0154502690502003,0.75,19.2,9.65,104.4,507,"",0.71630925400464,0.0161730403085927
"24","G2",150,20.3,12.21,128.1,0.1,"",0.289595262583853,0,1.6,15.8,23.13,234.4,543,"",0.729376520498947,0
"25","G2",159,25.8,11.3,138.7,553,"",1.0436891473214,0,1.75,23.3,6.46,76.1,570,"",0.0930024024174706,0
"26","G2",173,23.3,13.96,165.8,1.4,"",0.644616365765761,NA,1.5,23,16.37,191.2,503,"",0.564525462790992,NA
"27","G2",187,26.9,9.91,122.2,1.4,"",0.715241553975627,0.0184470701038587,1.5,25.9,5.15,61.1,524,"",0.729579994848147,0.0196297183186284
"28","G2",203,24.4,10.27,122.8,0.1,"",0.676978014275076,0.0122312797192668,1,24.2,10,118.9,501,"",0.946537910178382,0.0131231455274525
"29","G2",215,26.4,12.12,151.8,9.3,"",1.08900102895564,0.0114447137171578,1.25,24.6,6.81,80.8,497.6,"",1.86184769702784,0.0110644250604259
"30","G2",229,26.2,8.81,109.3,2.6,"",0.430836441328393,0.0115298470850609,1.75,25,8.14,92,490.7,"",1.81610256787604,0.0120851782101957
"31","G2",243,25.8,10.49,129.2,5.1,"",1.07299654502159,0.0109804429337939,1.5,25.7,10.08,123.9,484.2,"",1.02377164897285,0.0116120884661476
"32","G2",257,22.5,9.01,103.3,477.9,"",0.209518527769829,0.0124791324398587,2,22.1,9.19,105.3,469.7,"",0.205178831322369,0.0131225165751656
"33","G2",270,20.4,8.96,99.8,19.9,"",0.244397737548135,0.0148064072418805,1.75,18.9,7.32,80.3,514,"",0.221095140252674,0.0159082929785514
"34","PB0",139,20,NA,NA,NA,"temperature estimated from buoy data, not measured at site",3.03880927309565,0,1.25,20,NA,NA,NA,"temperature estimated from buoy data, not measured at site",3.93184415691144,0
"35","PB0",152,17,7,71.7,0.1,"",4.23610933997997,0,1.25,15.5,5.36,53.9,939,"",4.58855000760644,0
"36","PB0",166,22.3,6.25,72,978,"",5.45653532906674,0,0.75,21.3,4.94,56,979,"",5.39537861231277,0
"37","PB0",183,20.8,4.97,54.6,0.1,"",1.7220834324219,0.0834416192940096,1,20.6,4.39,48.9,792,"",0.0586223019583357,0.0178710825023447
"38","PB0",197,20.9,6.15,66.2,0.1,"",3.04209037441886,0.122576598988268,1.25,20.5,5.33,59.3,770,"",2.64209797700229,0.119914490951659
"39","PB0",208,23.2,7.95,93.8,17.1,"",2.02462439487672,0.184987141971018,1.25,23.1,6.31,64.2,942,"",1.79052585476217,0.182699592178614
"40","PB0",223,23.5,4.84,55.9,0.1,"",2.52673772338418,0.0831189645744511,1.25,22.3,3.55,40.9,542,"",2.98004255137479,0.0921628881884829
"41","PB0",237,24.1,8.99,124.4,0.1,"",2.4365625173163,0.0922809248270285,1.5,21.5,3.17,35.8,891,"",2.50509779412427,0.201235473676761
"42","PB1",152,17.3,12.9,134.2,0.1,"",1.0642022484243,0,1.5,16.3,14.52,142.2,627,"",1.00836502882362,0
"43","PB1",166,23.9,14.3,170.5,0.1,"",1.14708670879036,0,1.25,23.7,14.01,165.1,923,"",0.315330497114885,0
"44","PB1",183,23.4,6.14,70.2,2.1,"",0.746624304527502,0.0644607306306439,1.5,23.6,4.98,58.6,750,"",0.0133303399858117,0.0165523961130267
"45","PB1",197,22.1,8.02,92.1,788,"",1.40116976289987,0.0878401134561425,1.25,22.6,7.82,89.9,796,"",1.34249047730736,0.0929492449009574
"46","PB1",208,23.8,8.78,104.9,649,"",2.89428654822485,0.137804636391558,1.25,23.9,7.2,93.2,968,"",2.81941347273103,0.130607029102026
"47","PB1",223,24.4,7.04,83.9,4.5,"",1.17409853361635,0.0544195120416616,1,22.6,3.96,45.1,537,"",1.39978154278238,0.0750189590009781
"48","PB1",237,25,10.25,124.1,6,"",1.74538063212396,0.0750319391078633,1,23.4,5.81,67.7,730,"",1.80065696457232,0.154545370015811
"49","PB2",152,17.1,10.85,112.1,0,"",0.644568876000123,0,1,16.5,11.04,113.3,568,"",0.677163964427897,0
"50","PB2",166,24.9,15.4,186.5,0.1,"",0.743226328562722,0,1.25,24.2,16.4,196.2,680,"",0.650845917186271,0
"51","PB2",183,23.8,10.54,124.7,663,"",0.272105445802812,0.0424180023891785,1.25,23.4,8.31,98.2,678,"",0.347032610560982,0.0845924621647291
"52","PB2",197,22.8,9.2,106.8,664,"",0.576111948275276,0.063595336928014,1.25,22.8,3.76,43.3,695,"",0.6322274247931,0.07873830771292
"53","PB2",208,24,10.1,120.6,5.5,"",1.30549320330184,0.0594573545062282,1.25,24.3,9.68,115.2,649,"",1.54492074373848,0.0698883736299556
"54","PB2",223,24.9,8.47,102.3,1.8,"",0.517884830847085,0.0421420487438044,1.25,23.7,2.7,33.1,482.7,"",3.73955159353239,0.0873433021413832
"55","PB2",237,25.2,10.34,127.1,4.5,"",1.23406674322625,0.0329885411083923,1.25,25,4.97,54.3,701,"",3.63842972948106,0.0976064887559837
"56","S0",146,21.5,NA,79.8,0.1,"",3.3215506253925,0,1,21.2,NA,67.8,802,"",4.37948983869379,0
"57","S0",159,24.5,6.45,77.4,716,"",4.95011609259924,0,0.75,23.8,0.3,3.8,773,"",5.77502907689067,0
"58","S0",173,17.7,7.14,70.3,0.1,"",2.04870632682828,0,1,17.6,5.97,62.7,710,"",0.112938441837483,0
"59","S0",187,25.4,4.34,52.1,0.1,"",5.91515031163474,0.111053755469588,1.25,25.5,3.66,45.9,758,"",5.65850614958093,0.108786342447159
"60","S0",201,23.6,8.79,104,0.6,"",4.21077695340433,0.106810859015326,1,23.2,7.51,88.4,762,"",2.94703945285561,0.156220642236927
"61","S0",215,21.1,12.73,143.3,0.1,"",4.01706833262078,0.129113938090145,1,19.9,13.52,148.4,730,"",4.26559280681881,0.136284606215294
"62","S0",229,22.6,8.87,103.1,0.1,"",5.11007797211736,0.142845328439817,1.25,22,8.83,102.3,761,"",5.78230237623637,0.146377599150144
"63","S0",243,23,9.73,113.7,0.1,"",7.67598197240804,0.13080632255622,0.75,22.9,9.74,113.6,745,"",8.87457737611678,0.141675801157403
"64","S0",257,17.8,6.77,72,719,"",5.54204226348976,0.101295626514108,0.75,17.8,6.82,72,718,"",6.29196564688049,0.101103057375304
"65","S0",270,17.1,9.94,104.6,0,"",5.03910144796649,0.119981373310036,1.25,16,8.06,78.4,751,"",4.27119317026394,0.111281954399853
"66","Y0",146,24,NA,137.4,0.1,"",5.86537036073127,0,NA,NA,NA,NA,NA,NA,NA,NA
"67","Y0",159,26.7,8.12,101.3,2.1,"",3.88287956788247,0,1,26.5,8.42,104.6,564,"",2.52940479454117,0
"68","Y0",173,21.7,11.15,127.1,515,"",2.74570153473611,0,1,21.7,10.98,125.5,514,"",0.502691334483076,0
"69","Y0",187,27,6.97,87.4,5.8,"",3.37246523478147,0.074624678574897,1.25,26.9,5.32,66.8,566,"",3.01005470311275,0.0671677522154331
"70","Y0",203,24.4,6.1,72.8,0.1,"",6.23278211228287,0.116774735880886,1.25,24.5,5.86,70.4,565,"",6.46812930311547,0.109763764961902
"71","Y0",215,23.6,7.45,87.9,16.1,"",6.06894720408051,0.121881692021023,1.25,23.6,7.6,89.2,598,"",6.10111502753659,0.121781313770882
"72","Y0",229,24.6,6.67,80.5,5.7,"",6.37109043695865,0.151148903243551,1.25,24.6,6.53,78.5,577,"",6.81102162954356,0.151516450639303
"73","Y0",243,24.7,6.4,74.8,0.1,"",6.34124070774562,0.149393221836869,1,25.3,5.75,70.1,598,"",6.06699962681523,0.140117315916115
"74","Y0",257,21,7.31,82.3,613,"",2.00146503208371,0.0857507618651462,1,21,6.68,74.2,613,"",1.80170596033889,0.0764699373528147
"75","Y0",270,17.5,10.05,105.2,9.6,"",2.25657902363495,0.0562814809261516,1.25,17.3,10.57,110.2,609,"",2.10780519918987,0.0545678034110049
"76","Y1",146,23.4,NA,112.4,0.1,"",0.393222042128333,0,1.75,23.4,NA,113.2,641,"",0.386522825630518,0
"77","Y1",159,26.1,13.04,161.3,541,"",1.95968493436733,0,1.5,25.7,11.46,140.8,545,"",1.58090595699582,0
"78","Y1",173,22.1,8.89,101.8,43,"",2.53814835386264,0,1.75,22.2,8.09,93.1,554,"",-0.0107715081009013,0
"79","Y1",187,27,8.41,105.8,0.1,"",1.51594470693209,0.0106293812707974,1.75,27.2,7.21,90.7,516,"",1.6470488696102,0.00957951378034503
"80","Y1",203,23.7,9.77,116,7.2,"",1.87688950659664,0.0204543408563478,1.5,24.1,9.77,116.4,530,"",1.20277110102674,0.0167267448996971
"81","Y1",215,24.3,15.33,184.3,1.8,"",1.46579018016659,0.016154021167683,1.5,24,7.61,90.8,540,"",4.0569418093029,0.0236663897050506
"82","Y1",229,25.3,12.23,149.4,3.2,"",1.92663023381885,0.0234943932782207,1.75,24.4,8.78,105.4,509,"",1.7376996686268,0.0182338155666669
"83","Y1",243,25.9,14.31,177.5,2.4,"",2.65648703095885,0.0121957333424976,1.5,25.9,13.04,160.1,505,"",3.82351744839134,0.0112027903107784
"84","Y1",257,21.5,8.74,99.5,501,"",0.889892225354994,0.0130405417364699,1.75,21.4,8.81,99.8,504,"",0.890280710940425,0.0131425864224443
"85","Y1",270,18.8,9.51,100.5,11.5,"",0.788700658148467,0.0167052878639388,1.75,17.9,8.8,92.6,533,"",0.746464701036332,0.0175203902612117
"86","Y2",146,19.7,NA,127,0.1,"",0.326352880759905,0,1.75,19.3,NA,137.1,570,"",0.0406181296741848,0
"87","Y2",159,26.2,9.72,120.4,0,"",1.54595438909892,0,1.5,25.7,7.07,87.1,566,"",2.0189589586494,0
"88","Y2",173,21.7,9.75,111.5,0.1,"",1.72289529275404,0,1.25,21.7,9.53,107.6,548,"",-0.0152421426125422,0
"89","Y2",187,27.5,11.2,142.2,5.3,"",0.566913482269906,0.0121110324042454,1.5,26.8,9.56,119,502,"",0.607074126430883,0.0131033638637727
"90","Y2",203,23.4,9.07,106.6,0.1,"",0.856798737372778,0.0105716447669103,1,23.5,9.08,106.2,508,"",0.831858759059636,0.0104585251778988
"91","Y2",215,24.8,14.01,169.1,2.3,"",0.866880720227761,0.0114802477821086,1.25,24.5,10.81,130.1,509,"",1.60904309444598,0.0127204233267623
"92","Y2",229,25.7,10.94,133.9,3.5,"",1.63860424603558,0.0218346545060766,1.25,25.2,12.31,149.5,512,"",1.68964610111528,0.0228064443008186
"93","Y2",243,25.7,12.68,156.2,0.1,"",1.61579768117331,0.0123031011313808,1,25.7,11.88,144.9,493.4,"",1.53750466849371,0.0120196332286539
